Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
101,North Macedonia,MKD,1.8,1.09,41.8,Tier 4: Strategic Impact,16.3,25.5,0.066,7.88,0.149,17.86,1.76,15.75,3.49,2.92,106.46
102,Equatorial Guinea,GNQ,1.9,1.14,41.6,Tier 4: Strategic Impact,23.6,18.1,0.068,8.18,0.154,18.53,2.42,,2.92,,49.54
103,Nauru,NRU,0.0,0.01,41.5,Tier 4: Strategic Impact,20.4,21.1,0.000,0.05,0.001,0.12,1.20,,,0.58,87.17
104,Romania,ROU,19.1,11.43,41.5,Tier 4: Strategic Impact,14.4,27.1,0.686,82.30,1.555,186.56,0.81,28.66,5.72,2.87,123.25
105,Timor-Leste,TLS,1.4,0.84,41.5,Tier 4: Strategic Impact,18.2,23.3,0.050,6.05,0.114,13.72,12.25,,2.06,9.28,112.65
106,Panama,PAN,4.5,2.71,41.1,Tier 4: Strategic Impact,14.2,26.9,0.163,19.51,0.368,44.22,0.85,35.90,0.69,0.62,156.59
107,Dominica,DMA,0.1,0.04,40.9,Tier 4: Strategic Impact,19.8,21.1,0.002,0.29,0.005,0.65,1.57,,2.57,5.23,85.19
108,St. Vincent and the Grenadines,VCT,0.1,0.06,40.8,Tier 4: Strategic Impact,19.1,21.7,0.004,0.43,0.008,0.99,1.42,,3.63,8.55,101.63
109,Angola,AGO,37.9,22.73,40.7,Tier 4: Strategic Impact,21.7,19.0,1.364,163.67,3.091,370.98,6.12,,28.24,0.01,70.05
110,Chile,CHL,19.8,11.86,40.5,Tier 4: Strategic Impact,11.4,29.2,0.712,85.38,1.613,193.54,0.98,14.93,4.30,0.03,135.87
111,China,CHN,1409.0,845.38,40.5,Tier 4: Strategic Impact,9.7,30.8,50.723,6086.77,114.972,13796.68,1.23,10.62,0.22,0.16,128.25
112,Tanzania,TZA,68.6,41.14,40.2,Tier 4: Strategic Impact,18.8,21.5,2.468,296.18,5.595,671.34,13.75,40.17,3.06,1.57,105.40
113,Cameroon,CMR,29.1,17.47,40.1,Tier 4: Strategic Impact,18.4,21.7,1.048,125.81,2.376,285.18,8.92,39.13,4.53,1.61,96.48
114,Costa Rica,CRI,5.1,3.08,40.0,Tier 4: Strategic Impact,13.0,27.0,0.185,22.16,0.419,50.23,0.88,28.65,-0.41,0.77,133.53
115,Antigua and Barbuda,ATG,0.1,0.06,39.9,Tier 4: Strategic Impact,11.5,28.4,0.003,0.41,0.008,0.92,0.69,,6.20,1.74,200.54
116,Oman,OMN,5.3,3.17,39.7,Tier 4: Strategic Impact,12.7,27.0,0.190,22.82,0.431,51.72,0.80,30.46,0.59,0.04,122.29
117,Rwanda,RWA,14.3,8.55,39.4,Tier 4: Strategic Impact,20.0,19.5,0.513,61.59,1.163,139.60,16.33,,1.77,3.61,91.46
118,Bahrain,BHR,1.6,0.95,39.3,Tier 4: Strategic Impact,10.8,28.5,0.057,6.86,0.130,15.56,0.55,17.68,0.92,,153.90
119,Kiribati,KIR,0.1,0.08,39.3,Tier 4: Strategic Impact,19.3,20.1,0.005,0.58,0.011,1.32,7.13,,2.46,4.03,51.25
120,Malawi,MWI,21.7,12.99,39.3,Tier 4: Strategic Impact,23.4,15.9,0.780,93.55,1.767,212.05,31.23,49.63,32.18,1.35,61.09
121,Uruguay,URY,3.4,2.03,39.3,Tier 4: Strategic Impact,11.8,27.5,0.122,14.63,0.276,33.16,0.68,26.25,4.85,0.17,141.72
122,Brazil,BRA,212.0,127.20,39.2,Tier 4: Strategic Impact,12.1,27.0,7.632,915.83,17.299,2075.89,1.58,13.62,4.37,0.20,101.02
123,Kuwait,KWT,4.9,2.94,39.1,Tier 4: Strategic Impact,9.2,29.9,0.176,21.16,0.400,47.95,0.50,25.54,2.90,0.01,167.68
124,Namibia,NAM,3.0,1.82,38.6,Tier 4: Strategic Impact,16.8,21.9,0.109,13.09,0.247,29.67,3.70,27.08,4.24,0.68,87.68
125,Ethiopia,ETH,132.1,79.24,38.5,Tier 4: Strategic Impact,21.5,17.0,4.754,570.50,10.776,1293.13,14.39,51.17,21.04,0.40,59.87
