ISO3,Country,Population_M,Eligible_M,GDP_Per_Capita_USD,Account_Ownership_Pct,Account_Year,Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,Remittance_Pct_GDP,Inflation_Pct,Ext_Debt_Pct_GNI,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GX_Impact_Index,Tier
HKG,"Hong Kong SAR, China",7.5,4.51,54074.69,97.80,2021,2.20,319.49,95.98,0.12,1.73,,0.271,32.50,0.614,73.68,0.30,0.7,30.5,31.2,Tier 4: Strategic Impact
HUN,Hungary,9.6,5.74,23292.33,86.96,2024,13.04,105.05,91.45,2.41,3.70,,0.344,41.31,0.780,93.63,0.70,10.3,25.0,35.3,Tier 4: Strategic Impact
ISL,Iceland,0.4,0.23,86040.53,99.85,2024,0.15,121.48,97.95,0.70,5.86,,0.014,1.67,0.032,3.78,0.19,1.2,22.4,23.6,Tier 5: Adoption-Led
IND,India,1450.9,870.56,2694.74,89.02,2024,10.98,80.56,60.25,3.29,4.95,18.65,52.234,6268.04,118.396,14207.56,6.06,13.8,24.5,38.3,Tier 4: Strategic Impact
IDN,Indonesia,283.5,170.09,4925.43,56.33,2024,43.67,125.24,69.21,1.06,2.18,30.85,10.206,1224.67,23.133,2775.91,3.31,17.8,28.2,45.9,Tier 3: Moderate Impact
IRN,"Iran, Islamic Rep.",91.6,54.94,5190.17,91.06,2024,8.94,166.28,83.71,,32.46,2.40,3.296,395.57,7.472,896.63,3.14,18.3,32.7,51.0,Tier 3: Moderate Impact
IRQ,Iraq,46.0,27.63,6073.61,30.16,2024,69.84,101.39,81.81,0.43,-12.30,7.93,1.658,198.90,3.757,450.84,2.69,19.8,26.4,46.2,Tier 3: Moderate Impact
IRL,Ireland,5.4,3.24,112894.95,98.29,2024,1.71,110.80,96.87,0.10,2.11,,0.194,23.31,0.440,52.84,0.14,0.7,22.8,23.4,Tier 5: Adoption-Led
IMN,Isle of Man,0.1,0.05,,,,,,,,,,0.003,0.36,0.007,0.82,,,,,
ISR,Israel,10.0,5.98,54176.68,89.27,2024,10.73,153.34,87.04,0.19,3.07,,0.359,43.09,0.814,97.67,0.30,2.5,25.6,28.1,Tier 5: Adoption-Led
ITA,Italy,59.0,35.37,40385.34,86.02,2024,13.98,131.87,87.03,0.52,0.98,,2.122,254.68,4.811,577.26,0.40,5.2,25.9,31.1,Tier 4: Strategic Impact
JAM,Jamaica,2.8,1.70,7753.80,73.30,2021,26.70,115.09,89.47,16.81,5.41,94.43,0.102,12.27,0.232,27.80,2.10,23.6,26.8,50.4,Tier 3: Moderate Impact
JPN,Japan,124.0,74.39,32487.08,98.52,2024,1.48,178.43,85.01,0.11,2.74,,4.463,535.57,10.116,1213.97,0.50,4.9,30.9,35.9,Tier 4: Strategic Impact
JOR,Jordan,11.6,6.93,4618.10,46.46,2024,53.54,67.55,92.53,8.53,1.56,85.31,0.416,49.91,0.943,113.13,3.53,24.5,24.2,48.7,Tier 3: Moderate Impact
KAZ,Kazakhstan,20.6,12.36,14154.63,87.05,2024,12.95,127.11,92.88,0.12,8.69,84.79,0.741,88.96,1.680,201.64,1.15,14.5,28.5,43.1,Tier 4: Strategic Impact
KEN,Kenya,56.4,33.86,2132.43,90.12,2024,9.88,120.61,32.07,3.93,4.49,36.88,2.032,243.79,4.605,552.59,7.65,14.8,23.0,37.8,Tier 4: Strategic Impact
KIR,Kiribati,0.1,0.08,2288.63,,,,51.25,88.00,4.03,2.46,,0.005,0.58,0.011,1.32,7.13,19.3,20.1,39.3,Tier 4: Strategic Impact
PRK,"Korea, Dem. People's Rep.",26.5,15.90,,,,,24.13,,,,,0.954,114.47,2.162,259.48,,,9.0,,
KOR,"Korea, Rep.",51.8,31.05,36238.64,96.89,2024,3.11,162.11,97.42,0.39,2.32,,1.863,223.56,4.223,506.75,0.45,4.4,30.0,34.4,Tier 4: Strategic Impact
XKX,Kosovo,1.6,0.96,7023.07,64.16,2024,35.84,34.54,,,,,0.057,6.89,0.130,15.61,2.32,33.5,13.2,46.7,Tier 3: Moderate Impact
