Rank,Country,ISO3,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
46,Guatemala,GTM,18.4,3.74,5.62,20.3,4.6,65.2,113.7,56.7,6150,1.179,141.52,4.1,30.7,22.8,53.5,Tier 3: Moderate Opportunity
47,"Gambia, The",GMB,2.8,0.56,0.84,20.3,10.8,65.2,117.1,48.7,871,0.177,21.23,28.9,33.3,20.0,53.3,Tier 3: Moderate Opportunity
48,Albania,ALB,2.4,0.30,0.46,12.8,25.6,70.6,93.0,83.1,11378,0.096,11.47,2.2,30.3,22.7,53.1,Tier 3: Moderate Opportunity
49,Cote d'Ivoire,CIV,31.9,6.18,9.27,19.4,4.2,51.4,172.0,40.6,2728,1.947,233.66,9.2,27.8,25.2,53.0,Tier 3: Moderate Opportunity
50,Serbia,SRB,6.6,0.67,1.01,10.2,,62.1,128.5,85.4,13679,0.212,25.49,1.8,26.5,26.5,53.0,Tier 3: Moderate Opportunity
51,Mexico,MEX,130.9,22.23,33.34,17.0,5.8,55.3,111.7,81.2,14186,7.002,840.24,1.8,24.9,28.0,52.9,Tier 3: Moderate Opportunity
52,South Sudan,SSD,11.9,2.73,4.10,22.9,,,46.6,,,0.861,103.30,,38.6,14.3,52.9,Tier 3: Moderate Opportunity
53,Marshall Islands,MHL,0.0,0.01,0.01,21.0,,,39.7,64.1,7726,0.002,0.30,3.3,40.2,12.6,52.8,Tier 3: Moderate Opportunity
54,Namibia,NAM,3.0,0.54,0.82,18.0,37.2,40.9,87.7,63.7,4413,0.172,20.59,5.7,32.6,20.0,52.6,Tier 3: Moderate Opportunity
55,Bhutan,BTN,0.8,0.14,0.21,17.8,17.9,,95.6,90.0,3831,0.044,5.32,6.6,29.3,23.2,52.5,Tier 3: Moderate Opportunity
56,Togo,TGO,9.5,1.85,2.78,19.5,,51.0,75.8,37.6,1119,0.584,70.12,22.5,36.1,16.4,52.5,Tier 3: Moderate Opportunity
57,Zambia,ZMB,21.3,4.41,6.61,20.7,,38.5,102.1,33.0,1187,1.389,166.62,21.2,34.0,18.5,52.4,Tier 3: Moderate Opportunity
58,Indonesia,IDN,283.5,45.27,67.90,16.0,13.1,38.0,125.2,69.2,4925,14.259,1711.10,5.1,24.4,27.9,52.3,Tier 3: Moderate Opportunity
59,Angola,AGO,37.9,7.25,10.87,19.1,26.7,,70.0,37.9,2666,2.282,273.90,9.5,34.5,17.3,51.8,Tier 3: Moderate Opportunity
60,Cambodia,KHM,17.6,3.03,4.55,17.2,0.7,59.5,120.8,68.9,2628,0.955,114.59,9.6,26.9,24.9,51.8,Tier 3: Moderate Opportunity
61,Dominican Republic,DOM,11.4,1.94,2.91,17.0,12.9,52.6,91.9,86.1,10876,0.611,73.37,2.3,26.8,24.9,51.7,Tier 3: Moderate Opportunity
62,Nigeria,NGA,232.7,47.93,71.89,20.6,5.1,55.6,98.5,40.1,1084,15.098,1811.71,23.2,30.1,21.6,51.7,Tier 3: Moderate Opportunity
63,Panama,PAN,4.5,0.72,1.09,16.0,,42.5,156.6,68.5,19161,0.228,27.35,1.3,25.6,26.2,51.7,Tier 3: Moderate Opportunity
64,Solomon Islands,SLB,0.8,0.16,0.24,19.5,,,62.1,28.7,1934,0.050,6.02,13.0,40.1,11.6,51.7,Tier 3: Moderate Opportunity
65,Viet Nam,VNM,101.0,13.78,20.67,13.6,,27.8,131.0,78.1,4717,4.341,520.96,5.3,23.1,28.5,51.7,Tier 3: Moderate Opportunity
66,Kyrgyz Republic,KGZ,7.2,1.14,1.72,15.8,8.4,44.8,108.6,91.0,2420,0.360,43.24,10.4,25.0,26.4,51.3,Tier 3: Moderate Opportunity
67,Saudi Arabia,SAU,35.3,5.22,7.83,14.8,,35.1,157.8,100.0,35122,1.644,197.30,0.7,18.1,32.9,51.0,Tier 3: Moderate Opportunity
68,Myanmar,MMR,54.5,8.90,13.35,16.3,10.0,44.3,121.0,,1359,2.803,336.39,18.5,25.8,25.0,50.8,Tier 3: Moderate Opportunity
69,Turkiye,TUR,85.5,12.56,18.85,14.7,,34.8,105.7,86.0,15893,3.958,474.92,1.6,23.1,27.7,50.8,Tier 3: Moderate Opportunity
70,Georgia,GEO,3.7,0.43,0.65,11.6,29.9,31.3,155.2,81.9,9241,0.136,16.29,2.7,23.1,27.6,50.7,Tier 3: Moderate Opportunity
71,Bolivia,BOL,12.4,2.30,3.45,18.5,5.2,46.2,101.6,77.3,4421,0.725,87.00,5.7,26.1,24.5,50.5,Tier 3: Moderate Opportunity
72,"Iran, Islamic Rep.",IRN,91.6,12.18,18.27,13.3,21.3,8.2,166.3,83.7,5190,3.836,460.32,4.9,18.4,31.9,50.3,Tier 3: Moderate Opportunity
73,Nauru,NRU,0.0,0.00,0.00,17.6,,,87.2,83.0,13609,0.001,0.08,1.9,31.2,19.0,50.2,Tier 3: Moderate Opportunity
74,Guinea,GIN,14.8,2.99,4.49,20.3,7.1,66.3,97.9,32.3,1695,0.943,113.15,14.9,32.4,17.7,50.1,Tier 3: Moderate Opportunity
75,Lao PDR,LAO,7.8,1.45,2.18,18.7,2.2,69.8,64.8,64.4,2124,0.457,54.86,11.9,30.6,19.3,49.9,Tier 3: Moderate Opportunity
76,Honduras,HND,10.8,2.12,3.18,19.6,8.3,58.8,74.4,58.1,3426,0.668,80.17,7.4,30.3,19.5,49.8,Tier 3: Moderate Opportunity
77,Malaysia,MYS,35.6,5.92,8.88,16.6,12.2,12.9,142.7,97.7,11874,1.865,223.79,2.1,18.3,31.5,49.8,Tier 3: Moderate Opportunity
78,Armenia,ARM,3.0,0.38,0.57,12.5,26.7,36.3,134.5,80.0,8556,0.119,14.28,2.9,24.1,25.6,49.7,Tier 3: Moderate Opportunity
79,Thailand,THA,71.7,8.94,13.40,12.5,,11.9,168.6,89.5,7347,2.815,337.77,3.4,17.0,32.6,49.6,Tier 3: Moderate Opportunity
80,Vanuatu,VUT,0.3,0.06,0.09,17.6,,,89.3,,3411,0.018,2.19,7.4,36.1,13.4,49.5,Tier 3: Moderate Opportunity
81,Papua New Guinea,PNG,10.6,2.02,3.03,19.1,,,34.1,18.6,3007,0.636,76.28,8.4,38.9,10.5,49.4,Tier 3: Moderate Opportunity
82,Argentina,ARG,45.7,7.02,10.53,15.4,19.2,15.6,137.7,89.2,13970,2.211,265.37,1.8,19.2,30.0,49.2,Tier 3: Moderate Opportunity
83,Mali,MLI,24.5,4.99,7.49,20.4,3.8,54.2,112.1,36.0,1095,1.573,188.77,23.0,29.4,19.8,49.2,Tier 3: Moderate Opportunity
84,North Macedonia,MKD,1.8,0.21,0.31,11.4,28.7,42.6,106.5,88.5,9292,0.066,7.89,2.7,24.9,24.2,49.1,Tier 3: Moderate Opportunity
85,Uruguay,URY,3.4,0.48,0.71,14.1,,37.6,141.7,90.9,23907,0.150,18.01,1.1,21.0,28.0,49.0,Tier 3: Moderate Opportunity
86,"Venezuela, RB",VEN,28.4,5.04,7.56,17.7,,23.6,70.2,76.3,4218,1.588,190.53,6.0,26.2,22.7,49.0,Tier 3: Moderate Opportunity
87,Lesotho,LSO,2.3,0.46,0.69,19.8,24.7,46.8,69.3,49.0,972,0.146,17.47,25.9,32.7,16.2,48.9,Tier 3: Moderate Opportunity
88,Fiji,FJI,0.9,0.16,0.23,16.8,15.1,,112.0,74.1,6426,0.049,5.90,3.9,26.4,22.2,48.6,Tier 3: Moderate Opportunity
89,Burkina Faso,BFA,23.5,4.89,7.33,20.8,6.5,52.7,116.2,25.4,982,1.539,184.73,25.7,30.0,18.5,48.5,Tier 3: Moderate Opportunity
90,Bosnia and Herzegovina,BIH,3.2,0.33,0.50,10.5,27.3,41.6,117.7,83.4,9359,0.105,12.55,2.7,23.7,24.7,48.4,Tier 3: Moderate Opportunity
91,Madagascar,MDG,32.0,6.45,9.68,20.2,5.5,74.6,75.5,18.2,545,2.032,243.84,46.2,33.8,14.6,48.4,Tier 3: Moderate Opportunity
92,Benin,BEN,14.5,2.84,4.26,19.6,3.1,58.0,116.0,32.4,1485,0.895,107.36,17.0,29.3,19.0,48.3,Tier 3: Moderate Opportunity
93,Costa Rica,CRI,5.1,0.74,1.11,14.4,20.5,32.9,133.5,85.4,18587,0.233,27.94,1.4,21.3,27.0,48.3,Tier 3: Moderate Opportunity
94,Ecuador,ECU,18.1,3.13,4.70,17.3,8.6,39.5,101.0,72.7,6875,0.987,118.48,3.7,24.1,24.0,48.2,Tier 3: Moderate Opportunity
95,Comoros,COM,0.9,0.17,0.25,19.2,8.8,67.5,109.9,31.9,1663,0.052,6.28,15.2,32.3,15.7,48.0,Tier 3: Moderate Opportunity
96,"Micronesia, Fed. Sts.",FSM,0.1,0.02,0.03,19.9,,,20.0,39.4,4166,0.007,0.85,6.0,39.9,8.2,48.0,Tier 3: Moderate Opportunity
97,Sri Lanka,LKA,21.9,3.33,5.00,15.2,,24.9,142.3,51.2,4516,1.049,125.91,5.6,24.0,24.0,47.9,Tier 3: Moderate Opportunity
98,Niger,NER,27.0,5.55,8.32,20.5,0.4,84.3,65.7,13.0,735,1.747,209.68,34.3,34.7,13.0,47.7,Tier 3: Moderate Opportunity
99,India,IND,1450.9,257.37,386.05,17.7,15.7,16.7,80.6,60.2,2695,81.071,9728.47,9.4,22.5,24.9,47.4,Tier 3: Moderate Opportunity
100,Russian Federation,RUS,143.5,15.06,22.59,10.5,,11.5,180.8,92.2,14889,4.744,569.33,1.7,12.9,34.5,47.4,Tier 3: Moderate Opportunity
101,Uganda,UGA,50.0,10.83,16.25,21.7,,33.3,76.3,9.3,1078,3.412,409.41,23.4,33.6,13.9,47.4,Tier 3: Moderate Opportunity
